trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
hwy280WD6,11:15:00,11:15:00,summit,4,,0,0,
hwy280WD6,11:30:00,11:30:00,colonnade,5,,0,0,
hwy280WD6,11:37:00,11:37:00,marriott280,6,,0,0,
hwy280WD6,11:43:00,11:43:00,chickfila280,7,,0,0,
hwy280WD6,11:52:00,11:57:00,walmart280,8,,0,0,
hwy280WD6,12:03:00,12:03:00,chickfila280,9,,0,0,
hwy280WD6,12:06:00,12:06:00,marriott280,10,,0,0,
hwy280WD6,12:15:00,12:15:00,colonnade,11,,0,0,
hwy280WD6,12:21:00,12:21:00,summit,12,,0,0,
hwy280WD6,,,5points,13,,0,0,
hwy280WD6,,,MorrisA20S,14,,0,0,
hwy280WD6,12:43:00,12:43:00,central,15,,0,0,
hwy280WD7,11:50:00,11:50:00,central,1,,0,0,
hwy280WD7,,,MorrisA20S,2,,0,0,
hwy280WD7,,,5points,3,,0,0,
hwy280WD7,12:15:00,12:15:00,summit,4,,0,0,
hwy280WD7,12:30:00,12:30:00,colonnade,5,,0,0,
hwy280WD7,12:37:00,12:37:00,marriott280,6,,0,0,
hwy280WD7,12:43:00,12:43:00,chickfila280,7,,0,0,
hwy280WD7,12:52:00,12:57:00,walmart280,8,,0,0,
hwy280WD7,13:03:00,13:03:00,chickfila280,9,,0,0,
hwy280WD7,13:06:00,13:06:00,marriott280,10,,0,0,
hwy280WD7,13:15:00,13:15:00,colonnade,11,,0,0,
hwy280WD7,13:21:00,13:21:00,summit,12,,0,0,
hwy280WD7,,,5points,13,,0,0,
hwy280WD7,,,MorrisA20S,14,,0,0,
hwy280WD7,13:43:00,13:43:00,central,15,,0,0,
hwy280WD8,12:50:00,12:50:00,central,1,,0,0,
hwy280WD8,,,MorrisA20S,2,,0,0,
hwy280WD8,,,5points,3,,0,0,
hwy280WD8,13:15:00,13:15:00,summit,4,,0,0,
hwy280WD8,13:30:00,13:30:00,colonnade,5,,0,0,
hwy280WD8,13:37:00,13:37:00,marriott280,6,,0,0,
hwy280WD8,13:43:00,13:43:00,chickfila280,7,,0,0,
hwy280WD8,13:52:00,13:57:00,walmart280,8,,0,0,
hwy280WD8,14:03:00,14:03:00,chickfila280,9,,0,0,
hwy280WD8,14:06:00,14:06:00,marriott280,10,,0,0,
hwy280WD8,14:15:00,14:15:00,colonnade,11,,0,0,
hwy280WD8,14:21:00,14:21:00,summit,12,,0,0,
hwy280WD8,,,5points,13,,0,0,
hwy280WD8,,,MorrisA20S,14,,0,0,
hwy280WD8,14:43:00,14:43:00,central,15,,0,0,
hwy280WD9,13:50:00,13:50:00,central,1,,0,0,
hwy280WD9,,,MorrisA20S,2,,0,0,
hwy280WD9,,,5points,3,,0,0,
hwy280WD9,14:15:00,14:15:00,summit,4,,0,0,
hwy280WD9,14:30:00,14:30:00,colonnade,5,,0,0,
hwy280WD9,14:37:00,14:37:00,marriott280,6,,0,0,
hwy280WD9,14:43:00,14:43:00,chickfila280,7,,0,0,
hwy280WD9,14:52:00,14:57:00,walmart280,8,,0,0,
hwy280WD9,15:03:00,15:03:00,chickfila280,9,,0,0,
hwy280WD9,15:06:00,15:06:00,marriott280,10,,0,0,
hwy280WD9,15:15:00,15:15:00,colonnade,11,,0,0,
hwy280WD9,15:21:00,15:21:00,summit,12,,0,0,
hwy280WD9,,,5points,13,,0,0,
hwy280WD9,,,MorrisA20S,14,,0,0,
hwy280WD9,15:43:00,15:43:00,central,15,,0,0,
hwy280WD10,14:50:00,14:50:00,central,1,,0,0,
hwy280WD10,,,MorrisA20S,2,,0,0,
hwy280WD10,,,5points,3,,0,0,
hwy280WD10,15:15:00,15:15:00,summit,4,,0,0,
hwy280WD10,15:30:00,15:30:00,colonnade,5,,0,0,
hwy280WD10,15:37:00,15:37:00,marriott280,6,,0,0,
hwy280WD10,15:43:00,15:43:00,chickfila280,7,,0,0,
hwy280WD10,15:52:00,15:57:00,walmart280,8,,0,0,
hwy280WD10,16:03:00,16:03:00,chickfila280,9,,0,0,
hwy280WD10,16:06:00,16:06:00,marriott280,10,,0,0,
hwy280WD10,16:15:00,16:15:00,colonnade,11,,0,0,
hwy280WD10,16:21:00,16:21:00,summit,12,,0,0,
hwy280WD10,,,5points,13,,0,0,
hwy280WD10,,,MorrisA20S,14,,0,0,
hwy280WD10,16:43:00,16:43:00,central,15,,0,0,
hwy280WD11,15:50:00,15:50:00,central,1,,0,0,
hwy280WD11,,,MorrisA20S,2,,0,0,
