shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
HWY280_SHP,33.511878,-86.808826,0,
HWY280_SHP,33.51244,-86.80809,1,
HWY280_SHP,33.51308,-86.80851,2,
HWY280_SHP,33.51446,-86.80561,3,
HWY280_SHP,33.49955,-86.79581,5,
HWY280_SHP,33.43841,-86.72389,20,
HWY280_SHP,33.428422,-86.707752,25,
HWY280_SHP,33.42145,-86.67592,30,
HWY280_SHP,33.428422,-86.707752,35,
HWY280_SHP,33.43841,-86.72389,40,
HWY280_SHP,33.511878,-86.808826,50,
